# Summermyst affixes for Diablo In Skyrim
#
# Generated by the in-game discovery pass, then curated. Everything numeric --
# the mgef token, slots, duration, area and the magnitude bands -- is READ from
# Summermyst's own records, so each affix starts from its author's balance
# rather than from ours.
#
# WEIGHT 40 against the base table's 100. With 67 affixes here and 48 there,
# equal weights would make Summermyst roughly three rolls in five. At 40 it is
# closer to one in three: present everywhere, dominant nowhere.
#
# WHAT WAS CUT, and why, in case you want any of it back:
#   * 110 effects whose archetype is Script -- the behaviour lives in a Papyrus
#     script attached to Summermyst's OWN enchantment, which our created
#     enchantment does not carry. The magnitude is a parameter for that script.
#   * 86 sub-components ("Invisibility - Vs Player", "Triptych: Attributes").
#     Half an effect is not an affix.
#   * 167 with a single magnitude and no range -- toggles in disguise. Inventing
#     three tiers from one data point would fabricate balance.
#   * magnitudes above 100, which is where the base table tops out. Discharge
#     read 200-633 and Roulette 50-133: script parameters, not damage.
#   * "Fire Damage", which carried duration 1337 -- a sentinel, not a duration.
#   * 17 by name, listed below, whose mechanics need Summermyst's scripting to
#     mean anything: Alarm, Command Daedra, Goldstrike, King of the Lost, Magic
#     Find, Magnet, Nova, Quake, Roulette, Soul Harvest, Steal Weapons, Windfall,
#     Heal, Increased Experience, and the three Area effects.
#   * Polar Fire Damage and Polar Frost Damage, both flagged hide-in-UI: they
#     are halves of Summermyst's Polar enchantment and draw no item-card line,
#     so they would apply invisibly and read as an unexplained rename.
#   * Balefire, which appears twice under one id -- two distinct effects whose
#     names normalise identically.
#
# Points are 1/2/3 by tier and minItemLevel is 1/12/25, both defaults rather
# than judgements. The suffix is "of <EffectName>", which reads clunky in places
# and is worth a pass.
#
affixId,name,category,tier,points,minValue,maxValue,unit,duration,area,slots,weight,minItemLevel,mgef,npcExclude,prefix,suffix
amplify_conjuration,Amplify Conjuration,Modded,1,1,12,25,flat,0,0,ARMOR|RING|AMULET,40,1,Summermyst - Enchantments of Skyrim.esp|0x0512AA,0,Caller's,of Summoning
amplify_conjuration,Amplify Conjuration,Modded,2,2,25,37,flat,0,0,ARMOR|RING|AMULET,40,12,Summermyst - Enchantments of Skyrim.esp|0x0512AA,0,Caller's,of Summoning
amplify_conjuration,Amplify Conjuration,Modded,3,3,37,50,flat,0,0,ARMOR|RING|AMULET,40,25,Summermyst - Enchantments of Skyrim.esp|0x0512AA,0,Caller's,of Summoning
amplify_destruction,Amplify Destruction,Modded,1,1,6,12,flat,0,0,ARMOR|RING|AMULET,40,1,Summermyst - Enchantments of Skyrim.esp|0x0512AB,0,Ruinous,of Ruin
amplify_destruction,Amplify Destruction,Modded,2,2,12,19,flat,0,0,ARMOR|RING|AMULET,40,12,Summermyst - Enchantments of Skyrim.esp|0x0512AB,0,Ruinous,of Ruin
amplify_destruction,Amplify Destruction,Modded,3,3,19,25,flat,0,0,ARMOR|RING|AMULET,40,25,Summermyst - Enchantments of Skyrim.esp|0x0512AB,0,Ruinous,of Ruin
amplify_restoration,Amplify Restoration,Modded,1,1,6,12,flat,0,0,ARMOR|RING|AMULET,40,1,Summermyst - Enchantments of Skyrim.esp|0x0512AC,0,Blessed,of Benediction
amplify_restoration,Amplify Restoration,Modded,2,2,12,19,flat,0,0,ARMOR|RING|AMULET,40,12,Summermyst - Enchantments of Skyrim.esp|0x0512AC,0,Blessed,of Benediction
amplify_restoration,Amplify Restoration,Modded,3,3,19,25,flat,0,0,ARMOR|RING|AMULET,40,25,Summermyst - Enchantments of Skyrim.esp|0x0512AC,0,Blessed,of Benediction
insult,Insult,Modded,1,1,12,18,flat,0,0,WEAPON,40,1,Summermyst - Enchantments of Skyrim.esp|0x14CC9D,0,Taunting,of Taunting
insult,Insult,Modded,2,2,18,24,flat,0,0,WEAPON,40,12,Summermyst - Enchantments of Skyrim.esp|0x14CC9D,0,Taunting,of Taunting
insult,Insult,Modded,3,3,24,30,flat,0,0,WEAPON,40,25,Summermyst - Enchantments of Skyrim.esp|0x14CC9D,0,Taunting,of Taunting
karma,Karma,Modded,1,1,9,16,flat,1,0,WEAPON,40,1,Summermyst - Enchantments of Skyrim.esp|0x151DAF,0,Vengeful,of Retribution
karma,Karma,Modded,2,2,16,23,flat,1,0,WEAPON,40,12,Summermyst - Enchantments of Skyrim.esp|0x151DAF,0,Vengeful,of Retribution
karma,Karma,Modded,3,3,23,30,flat,1,0,WEAPON,40,25,Summermyst - Enchantments of Skyrim.esp|0x151DAF,0,Vengeful,of Retribution
frost_hazard,Frost Hazard,Modded,1,1,4,7,flat,10,0,WEAPON,40,1,Summermyst - Enchantments of Skyrim.esp|0x11A25A,0,Glacial,of Hoarfrost
frost_hazard,Frost Hazard,Modded,2,2,7,9,flat,10,0,WEAPON,40,12,Summermyst - Enchantments of Skyrim.esp|0x11A25A,0,Glacial,of Hoarfrost
frost_hazard,Frost Hazard,Modded,3,3,9,12,flat,10,0,WEAPON,40,25,Summermyst - Enchantments of Skyrim.esp|0x11A25A,0,Glacial,of Hoarfrost
weakness_to_poison,Weakness to Poison,Modded,1,1,10,23,flat,10,0,WEAPON,40,1,Summermyst - Enchantments of Skyrim.esp|0x13377F,0,Taintmarked,of Frailty
weakness_to_poison,Weakness to Poison,Modded,2,2,23,37,flat,10,0,WEAPON,40,12,Summermyst - Enchantments of Skyrim.esp|0x13377F,0,Taintmarked,of Frailty
weakness_to_poison,Weakness to Poison,Modded,3,3,37,50,flat,10,0,WEAPON,40,25,Summermyst - Enchantments of Skyrim.esp|0x13377F,0,Taintmarked,of Frailty
leak_stamina,Leak Stamina,Modded,1,1,5,12,flat,10,0,WEAPON,40,1,Summermyst - Enchantments of Skyrim.esp|0x151DB7,0,Enervating,of Enervation
leak_stamina,Leak Stamina,Modded,2,2,12,18,flat,10,0,WEAPON,40,12,Summermyst - Enchantments of Skyrim.esp|0x151DB7,0,Enervating,of Enervation
leak_stamina,Leak Stamina,Modded,3,3,18,25,flat,10,0,WEAPON,40,25,Summermyst - Enchantments of Skyrim.esp|0x151DB7,0,Enervating,of Enervation
fortify_unarmed_damage,Fortify Unarmed Damage,Modded,1,1,5,7,flat,0,0,ARMOR|RING|AMULET,40,1,Summermyst - Enchantments of Skyrim.esp|0x0514B2,0,Ironfisted,of Iron Fists
fortify_unarmed_damage,Fortify Unarmed Damage,Modded,2,2,7,8,flat,0,0,ARMOR|RING|AMULET,40,12,Summermyst - Enchantments of Skyrim.esp|0x0514B2,0,Ironfisted,of Iron Fists
fortify_unarmed_damage,Fortify Unarmed Damage,Modded,3,3,8,10,flat,0,0,ARMOR|RING|AMULET,40,25,Summermyst - Enchantments of Skyrim.esp|0x0514B2,0,Ironfisted,of Iron Fists
bleed_damage,Bleed Damage,Modded,1,1,1,3,flat,15,0,WEAPON,40,1,Summermyst - Enchantments of Skyrim.esp|0x0513FE,0,Serrated,of Bleeding
bleed_damage,Bleed Damage,Modded,2,2,3,6,flat,15,0,WEAPON,40,12,Summermyst - Enchantments of Skyrim.esp|0x0513FE,0,Serrated,of Bleeding
bleed_damage,Bleed Damage,Modded,3,3,6,8,flat,15,0,WEAPON,40,25,Summermyst - Enchantments of Skyrim.esp|0x0513FE,0,Serrated,of Bleeding
shock_hazard,Shock Hazard,Modded,1,1,4,7,flat,10,0,WEAPON,40,1,Summermyst - Enchantments of Skyrim.esp|0x11A25B,0,Crackling,of Static
shock_hazard,Shock Hazard,Modded,2,2,7,9,flat,10,0,WEAPON,40,12,Summermyst - Enchantments of Skyrim.esp|0x11A25B,0,Crackling,of Static
shock_hazard,Shock Hazard,Modded,3,3,9,12,flat,10,0,WEAPON,40,25,Summermyst - Enchantments of Skyrim.esp|0x11A25B,0,Crackling,of Static
fire_hazard,Fire Hazard,Modded,1,1,4,7,flat,10,0,WEAPON,40,1,Summermyst - Enchantments of Skyrim.esp|0x115145,0,Smouldering,of Cinders
fire_hazard,Fire Hazard,Modded,2,2,7,9,flat,10,0,WEAPON,40,12,Summermyst - Enchantments of Skyrim.esp|0x115145,0,Smouldering,of Cinders
fire_hazard,Fire Hazard,Modded,3,3,9,12,flat,10,0,WEAPON,40,25,Summermyst - Enchantments of Skyrim.esp|0x115145,0,Smouldering,of Cinders
slay_living,Slay Living,Modded,1,1,5,12,flat,1,0,WEAPON,40,1,Summermyst - Enchantments of Skyrim.esp|0x051113,0,Deathly,of Slaying
slay_living,Slay Living,Modded,2,2,12,18,flat,1,0,WEAPON,40,12,Summermyst - Enchantments of Skyrim.esp|0x051113,0,Deathly,of Slaying
slay_living,Slay Living,Modded,3,3,18,25,flat,1,0,WEAPON,40,25,Summermyst - Enchantments of Skyrim.esp|0x051113,0,Deathly,of Slaying
absorb_speed,Absorb Speed,Modded,1,1,5,8,flat,10,0,WEAPON,40,1,Summermyst - Enchantments of Skyrim.esp|0x0510DB,0,Sapping,of Sapping
absorb_speed,Absorb Speed,Modded,2,2,8,12,flat,10,0,WEAPON,40,12,Summermyst - Enchantments of Skyrim.esp|0x0510DB,0,Sapping,of Sapping
absorb_speed,Absorb Speed,Modded,3,3,12,15,flat,10,0,WEAPON,40,25,Summermyst - Enchantments of Skyrim.esp|0x0510DB,0,Sapping,of Sapping
power_surge,Power Surge,Modded,1,1,3,4,flat,1,0,WEAPON,40,1,Summermyst - Enchantments of Skyrim.esp|0x0510F0,0,Surging,of Surging
power_surge,Power Surge,Modded,2,2,4,5,flat,1,0,WEAPON,40,12,Summermyst - Enchantments of Skyrim.esp|0x0510F0,0,Surging,of Surging
power_surge,Power Surge,Modded,3,3,5,6,flat,1,0,WEAPON,40,25,Summermyst - Enchantments of Skyrim.esp|0x0510F0,0,Surging,of Surging
counterspell,Counterspell,Modded,1,1,15,27,flat,1,0,WEAPON,40,1,Summermyst - Enchantments of Skyrim.esp|0x051112,0,Unweaving,of Unweaving
counterspell,Counterspell,Modded,2,2,27,38,flat,1,0,WEAPON,40,12,Summermyst - Enchantments of Skyrim.esp|0x051112,0,Unweaving,of Unweaving
counterspell,Counterspell,Modded,3,3,38,50,flat,1,0,WEAPON,40,25,Summermyst - Enchantments of Skyrim.esp|0x051112,0,Unweaving,of Unweaving
launch,Launch,Modded,1,1,10,17,flat,5,0,WEAPON,40,1,Summermyst - Enchantments of Skyrim.esp|0x0510FA,0,Hurling,of Hurling
launch,Launch,Modded,2,2,17,23,flat,5,0,WEAPON,40,12,Summermyst - Enchantments of Skyrim.esp|0x0510FA,0,Hurling,of Hurling
launch,Launch,Modded,3,3,23,30,flat,5,0,WEAPON,40,25,Summermyst - Enchantments of Skyrim.esp|0x0510FA,0,Hurling,of Hurling
drain_skills,Drain Skills,Modded,1,1,10,23,flat,15,0,WEAPON,40,1,Summermyst - Enchantments of Skyrim.esp|0x051143,0,Dulling,of Dulling
drain_skills,Drain Skills,Modded,2,2,23,37,flat,15,0,WEAPON,40,12,Summermyst - Enchantments of Skyrim.esp|0x051143,0,Dulling,of Dulling
drain_skills,Drain Skills,Modded,3,3,37,50,flat,15,0,WEAPON,40,25,Summermyst - Enchantments of Skyrim.esp|0x051143,0,Dulling,of Dulling
drain_magic_resist,Drain Magic Resist,Modded,1,1,10,20,flat,15,0,WEAPON,40,1,Summermyst - Enchantments of Skyrim.esp|0x0510D7,0,Unwarding,of Unwarding
drain_magic_resist,Drain Magic Resist,Modded,2,2,20,30,flat,15,0,WEAPON,40,12,Summermyst - Enchantments of Skyrim.esp|0x0510D7,0,Unwarding,of Unwarding
drain_magic_resist,Drain Magic Resist,Modded,3,3,30,40,flat,15,0,WEAPON,40,25,Summermyst - Enchantments of Skyrim.esp|0x0510D7,0,Unwarding,of Unwarding
mania,Mania,Modded,1,1,5,10,flat,1,0,WEAPON,40,1,Summermyst - Enchantments of Skyrim.esp|0x3CB04F,0,Maddening,of Madness
mania,Mania,Modded,2,2,10,15,flat,1,0,WEAPON,40,12,Summermyst - Enchantments of Skyrim.esp|0x3CB04F,0,Maddening,of Madness
mania,Mania,Modded,3,3,15,20,flat,1,0,WEAPON,40,25,Summermyst - Enchantments of Skyrim.esp|0x3CB04F,0,Maddening,of Madness
